userId,firstName,lastName,username,password,isActive,dateOfBirthday,address
1,John,Doe,John.Doe,johndoe1,TRUE,1990-01-01,123 Main St
2,Jane,Doe,Jane.Doe,janedoe2,TRUE,1990-02-02,234 Park Ave
3,Jim,Smith,Jim.Smith,jimsmith3,TRUE,1991-03-03,345 King Rd
4,Jill,Smith,Jill.Smith,jillsmith4,TRUE,1991-04-04,456 Queen Blvd
5,Joe,Brown,Joe.Brown,joebrown5,TRUE,1992-05-05,567 Prince St
6,Jessica,White,Jessica.White,jessicawhite6,TRUE,1993-06-06,678 Princess St
7,Jack,Green,Jack.Green,jackgreen7,TRUE,1994-07-07,789 Duke Ave
8,Jennifer,Black,Jennifer.Black,jenniferblack8,TRUE,1995-08-08,890 Duchess Dr
9,Jason,Yellow,Jason.Yellow,jasonyellow9,TRUE,1996-09-09,901 Earl Ct
10,Jasmine,Purple,Jasmine.Purple,jasminepurple10,TRUE,1997-10-10,1012 Countess Ln
